hero_id	name	pay_type	new_type	hero_type	hero_type2	skin_name	img_url	live	attack	skill	difficulty
123	吕布	NULL	0	战士	坦克	无双之魔|圣诞狂欢|天魔缭乱|末日机甲	http://game.gtimg.cn/images/yxzj/img201606/heroimg/123/123.jpg	60	60	30	40
124	周瑜	NULL	0	法师	NULL	铁血都督|海军大将|真爱至上	http://game.gtimg.cn/images/yxzj/img201606/heroimg/124/124.jpg	30	40	90	70
125	元歌	NULL	战士	刺客	NULL	无间傀儡|午夜歌剧院	http://game.gtimg.cn/images/yxzj/img201606/heroimg/125/125.jpg	10	50	90	100
126	夏侯惇	NULL	0	坦克	战士	不羁之风|战争骑士|乘风破浪	http://game.gtimg.cn/images/yxzj/img201606/heroimg/126/126.jpg	70	40	50	40
127	甄姬	NULL	0	法师	NULL	洛神降临|冰雪圆舞曲|花好人间|游园惊梦	http://game.gtimg.cn/images/yxzj/img201606/heroimg/127/127.jpg	10	10	70	40
128	曹操	NULL	0	战士	NULL	鲜血枭雄|超能战警|幽灵船长|死神来了|烛龙	http://game.gtimg.cn/images/yxzj/img201606/heroimg/128/128.jpg	60	60	50	40
129	典韦	NULL	0	战士	NULL	狂战士|黄金武士|穷奇	http://game.gtimg.cn/images/yxzj/img201606/heroimg/129/129.jpg	60	60	30	10
130	宫本武藏	NULL	0	战士	NULL	剑圣|鬼剑武藏|未来纪元|万象初新|地狱之眼|霸王丸	http://game.gtimg.cn/images/yxzj/img201606/heroimg/130/130.jpg	50	70	40	50
131	李白	NULL	0	刺客	战士	青莲剑仙|范海辛|千年之狐|凤求凰	http://game.gtimg.cn/images/yxzj/img201606/heroimg/131/131.jpg	40	70	60	90
132	马可波罗	NULL	0	射手	NULL	远游之枪|激情绿茵|逐梦之星	http://game.gtimg.cn/images/yxzj/img201606/heroimg/132/132.jpg	30	60	60	50
133	狄仁杰	11	0	射手	NULL	断案大师|锦衣卫|魔术师|超时空战士|阴阳师	http://game.gtimg.cn/images/yxzj/img201606/heroimg/133/133.jpg	40	90	30	20
134	达摩	NULL	0	战士	坦克	拳僧|大发明家|拳王	http://game.gtimg.cn/images/yxzj/img201606/heroimg/134/134.jpg	70	50	20	50
135	项羽	NULL	0	坦克	NULL	霸王|帝国元帅|苍穹之光|海滩派对|职棒王牌|霸王别姬	http://game.gtimg.cn/images/yxzj/img201606/heroimg/135/135.jpg	90	40	50	30
136	武则天	NULL	0	法师	NULL	女帝|东方不败|海洋之心	http://game.gtimg.cn/images/yxzj/img201606/heroimg/136/136.jpg	20	10	100	60
139	老夫子	NULL	0	战士	NULL	万古长明|潮流仙人|圣诞老人|功夫老勺	http://game.gtimg.cn/images/yxzj/img201606/heroimg/139/139.jpg	60	60	40	30
140	关羽	NULL	0	战士	坦克	一骑当千|天启骑士|冰锋战神|龙腾万里	http://game.gtimg.cn/images/yxzj/img201606/heroimg/140/140.jpg	60	60	60	80
141	貂蝉	NULL	0	法师	刺客	绝世舞姬|异域舞娘|圣诞恋歌|逐梦之音|仲夏夜之梦	http://game.gtimg.cn/images/yxzj/img201606/heroimg/141/141.jpg	40	20	70	60
142	安琪拉	NULL	0	法师	NULL	暗夜萝莉|玩偶对对碰|魔法小厨娘|心灵骇客	http://game.gtimg.cn/images/yxzj/img201606/heroimg/142/142.jpg	40	10	80	40
144	程咬金	NULL	0	坦克	战士	热烈之斧|爱与正义|星际陆战队|华尔街大亨	http://game.gtimg.cn/images/yxzj/img201606/heroimg/144/144.jpg	90	50	50	10
146	露娜	NULL	0	战士	法师	月光之女|哥特玫瑰|绯红之刃|紫霞仙子	http://game.gtimg.cn/images/yxzj/img201606/heroimg/146/146.jpg	50	40	70	90
148	姜子牙	NULL	0	法师	辅助	太古魔导|时尚教父	http://game.gtimg.cn/images/yxzj/img201606/heroimg/148/148.jpg	10	20	70	30
149	刘邦	NULL	0	坦克	辅助	双面君主|圣殿之光|德古拉伯爵	http://game.gtimg.cn/images/yxzj/img201606/heroimg/149/149.jpg	80	40	60	50
150	韩信	NULL	0	刺客	战士	国士无双|街头霸王|教廷特使|白龙吟|逐梦之影	http://game.gtimg.cn/images/yxzj/img201606/heroimg/150/150.jpg	20	70	30	80
152	王昭君	10	0	法师	NULL	冰雪之华|精灵公主|偶像歌手|凤凰于飞|幻想奇妙夜	http://game.gtimg.cn/images/yxzj/img201606/heroimg/152/152.jpg	40	40	80	40
153	兰陵王	NULL	0	刺客	NULL	暗影刀锋|隐刃|暗隐猎兽者	http://game.gtimg.cn/images/yxzj/img201606/heroimg/153/153.jpg	40	80	40	50
154	花木兰	NULL	0	战士	刺客	传说之刃|剑舞者|兔女郎|水晶猎龙者|青春决赛季	http://game.gtimg.cn/images/yxzj/img201606/heroimg/154/154.jpg	50	70	50	80
156	张良	NULL	0	法师	NULL	言灵之书|天堂福音|一千零一夜	http://game.gtimg.cn/images/yxzj/img201606/heroimg/156/156.jpg	30	10	80	60
157	不知火舞	NULL	0	法师	刺客	明媚烈焰	http://game.gtimg.cn/images/yxzj/img201606/heroimg/157/157.jpg	30	30	80	80
162	娜可露露	NULL	0	刺客	NULL	鹰之守护	http://game.gtimg.cn/images/yxzj/img201606/heroimg/162/162.jpg	30	80	60	40
163	橘右京	NULL	0	刺客	战士	神梦一刀	http://game.gtimg.cn/images/yxzj/img201606/heroimg/163/163.jpg	50	60	50	50
166	亚瑟	11	0	战士	坦克	圣骑之力|死亡骑士|狮心王|心灵战警	http://game.gtimg.cn/images/yxzj/img201606/heroimg/166/166.jpg	80	30	50	20
167	孙悟空	NULL	0	战士	刺客	齐天大圣|地狱火|西部大镖客|美猴王|至尊宝	http://game.gtimg.cn/images/yxzj/img201606/heroimg/167/167.jpg	50	80	50	40
168	牛魔	10	0	坦克	辅助	精英酋长|西部大镖客|制霸全明星	http://game.gtimg.cn/images/yxzj/img201606/heroimg/168/168.jpg	70	40	50	50
169	后羿	NULL	0	射手	NULL	半神之弓|精灵王|阿尔法小队|辉光之辰	http://game.gtimg.cn/images/yxzj/img201606/heroimg/169/169.jpg	30	80	40	30
170	刘备	NULL	0	战士	NULL	仁德义枪|万事如意|纽约教父|汉昭烈帝	http://game.gtimg.cn/images/yxzj/img201606/heroimg/170/170.jpg	60	60	40	40
171	张飞	NULL	0	坦克	辅助	禁血狂兽|五福同心|乱世虎臣	http://game.gtimg.cn/images/yxzj/img201606/heroimg/171/171.jpg	100	40	50	60
173	李元芳	NULL	0	射手	NULL	王都密探|特种部队|黑猫爱糖果	http://game.gtimg.cn/images/yxzj/img201606/heroimg/173/173.jpg	30	80	50	50
174	虞姬	10	0	射手	NULL	森之风灵|加勒比小姐|霸王别姬|凯尔特女王	http://game.gtimg.cn/images/yxzj/img201606/heroimg/174/174.jpg	40	80	50	40
175	钟馗	NULL	0	法师	战士	虚灵城判|地府判官	http://game.gtimg.cn/images/yxzj/img201606/heroimg/175/175.jpg	50	40	70	50
176	杨玉环	NULL	0	法师	辅助	风华霓裳|霓裳曲	http://game.gtimg.cn/images/yxzj/img201606/heroimg/176/176.jpg	30	30	90	50
177	成吉思汗	NULL	0	射手	NULL	苍狼末裔|维京掠夺者	http://game.gtimg.cn/images/yxzj/img201606/heroimg/177/177.jpg	30	80	30	50
178	杨戬	NULL	0	战士	NULL	根源之目|埃及法老|永曜之星	http://game.gtimg.cn/images/yxzj/img201606/heroimg/178/178.jpg	60	60	50	50
179	女娲	10	0	法师	NULL	至高创世|尼罗河女神	http://game.gtimg.cn/images/yxzj/img201606/heroimg/179/179.jpg	30	10	90	70
180	哪吒	10	0	战士	NULL	桀骜炎枪|三太子|逐梦之翼	http://game.gtimg.cn/images/yxzj/img201606/heroimg/180/180.jpg	80	30	60	50
182	干将莫邪	NULL	0	法师	NULL	淬命双剑|第七人偶	http://game.gtimg.cn/images/yxzj/img201606/heroimg/182/182.jpg	40	30	80	70
183	雅典娜	NULL	0	战士	NULL	圣域余晖|战争女神|冰冠公主|神奇女侠	http://game.gtimg.cn/images/yxzj/img201606/heroimg/183/183.jpg	70	60	40	60
184	蔡文姬	NULL	0	辅助	NULL	天籁弦音|蔷薇王座|舞动绿茵	http://game.gtimg.cn/images/yxzj/img201606/heroimg/184/184.jpg	50	10	80	30
186	太乙真人	NULL	0	辅助	坦克	炼金大师|圆桌骑士|饕餮	http://game.gtimg.cn/images/yxzj/img201606/heroimg/186/186.jpg	50	10	60	70
187	东皇太一	NULL	0	坦克	NULL	噬灭日蚀|东海龙王	http://game.gtimg.cn/images/yxzj/img201606/heroimg/187/187.jpg	80	20	50	40
189	鬼谷子	NULL	0	辅助	NULL	万物有灵|阿摩司公爵	http://game.gtimg.cn/images/yxzj/img201606/heroimg/189/189.jpg	50	20	60	50
190	诸葛亮	NULL	0	法师	NULL	绝代智谋|星航指挥官|黄金分割率|武陵仙君	http://game.gtimg.cn/images/yxzj/img201606/heroimg/190/190.jpg	30	10	80	60
191	大乔	NULL	0	辅助	NULL	沧海之曜|伊势巫女	http://game.gtimg.cn/images/yxzj/img201606/heroimg/191/191.jpg	10	10	60	60
192	黄忠	NULL	0	射手	NULL	燃魂重炮|芝加哥教父	http://game.gtimg.cn/images/yxzj/img201606/heroimg/192/192.jpg	40	90	40	40
193	铠	NULL	0	战士	坦克	破灭刃锋|龙域领主|曙光守护者	http://game.gtimg.cn/images/yxzj/img201606/heroimg/193/193.jpg	70	70	40	20
194	苏烈	NULL	0	坦克	战士	不屈铁壁|爱与和平	http://game.gtimg.cn/images/yxzj/img201606/heroimg/194/194.jpg	70	40	60	50
195	百里玄策	NULL	0	刺客	NULL	嚣狂之镰|威尼斯狂欢	http://game.gtimg.cn/images/yxzj/img201606/heroimg/195/195.jpg	40	80	40	100
196	百里守约	NULL	0	射手	刺客	静谧之眼|绝影神枪|特工魅影	http://game.gtimg.cn/images/yxzj/img201606/heroimg/196/196.jpg	20	70	40	70
197	弈星	NULL	0	法师	NULL	天元之弈|踏雪寻梅	http://game.gtimg.cn/images/yxzj/img201606/heroimg/197/197.jpg	40	30	90	60
198	梦奇	NULL	0	坦克	法师	入梦之灵|美梦成真	http://game.gtimg.cn/images/yxzj/img201606/heroimg/198/198.jpg	80	40	40	40
199	公孙离	NULL	0	射手	NULL	幻舞玲珑|花间舞	http://game.gtimg.cn/images/yxzj/img201606/heroimg/199/199.jpg	20	80	30	70
501	明世隐	NULL	0	辅助	NULL	灵魂劫卜|占星术士	http://game.gtimg.cn/images/yxzj/img201606/heroimg/501/501.jpg	60	30	50	70
502	裴擒虎	NULL	0	刺客	战士	六合虎拳|街头霸王|梅西	http://game.gtimg.cn/images/yxzj/img201606/heroimg/502/502.jpg	40	80	50	70
503	狂铁	10	0	战士	NULL	战车意志|命运角斗场	http://game.gtimg.cn/images/yxzj/img201606/heroimg/503/503.jpg	60	60	60	50
504	米莱狄	NULL	0	法师	NULL	筑城者|精准探案法	http://game.gtimg.cn/images/yxzj/img201606/heroimg/504/504.jpg	20	10	80	40
